bbsname,cname,ename,sname,shortname
鴨類(鴨亞科)(XX鴨),鴨類(鴨亞科),duck sp.,Anatinae sp.,
雁鴨類(雁鴨科)(XX雁鴨),雁鴨類(雁鴨科),waterfowl sp.,Anatidae sp.,UNDU
普通珠雞(馴化),普通珠雞(馴化),Helmeted Guineafowl (Domestic type),Numida meleagris (Domestic type),"HEGU,NUME"
台灣山鷓鴣,台灣山鷓鴣,Taiwan Partridge,Arborophila crudigularis,"TAPA,ARCR"
藍孔雀,藍孔雀,Indian Peafowl,Pavo cristatus,"INPE,PACR"
藍孔雀(馴化),藍孔雀(馴化),Indian Peafowl (Domestic type),Pavo cristatus (Domestic type),
小鵪鶉,小鵪鶉,Blue-breasted Quail,Synoicus chinensis,"KIQU,BBQU,SYCH"
鵪鶉,鵪鶉,Japanese Quail,Coturnix japonica,"JAQU,COJA"
台灣竹雞,台灣竹雞,Taiwan Bamboo-Partridge,Bambusicola sonorivox,"TABP,TBPA,BASO"
臺灣竹雞,台灣竹雞,Taiwan Bamboo-Partridge,Bambusicola sonorivox,"TABP,TBPA,BASO"
黑長尾雉,黑長尾雉,Mikado Pheasant,Syrmaticus mikado,"MIPH,SYMI"
帝雉,黑長尾雉,Mikado Pheasant,Syrmaticus mikado,"MIPH,SYMI"
環頸雉,環頸雉,Ring-necked Pheasant,Phasianus colchicus,"RNEP,RNPH,COPH,PHCO"
藍腹鷴,藍腹鷴,Swinhoe's Pheasant,Lophura swinhoii,"SWPH,LOSW"
雉類(雉亞科),雉類(雉亞科),pheasant sp.,Phasianinae sp.,
火雞(馴化),火雞(馴化),Wild Turkey (Domestic type),Meleagris gallopavo (Domestic type),"WITU,MEGA"
大紅鸛,大紅鸛,Greater Flamingo,Phoenicopterus roseus,"GRFL,PHRO"
小鸊鷉,小鸊鷉,Little Grebe,Tachybaptus ruficollis,"LIGR,TARU"
